,model,r_sq,rss,diff
1,2,0.9993146783417287,11606.612419104109,1333.7563201150278
2,3,0.9993283492419673,11375.081956618851,231.53046248525789
3,4,0.9993338275114486,11282.301946197913,92.7800104209382
4,5,0.9993385211229575,11202.810908708823,79.49103748908965
5,6,0.999343908187845,11111.575539928348,91.23536878047526
6,7,0.9993503373280785,11002.691575765686,108.88396416266187
7,8,0.9993543156392801,10935.314869307864,67.37670645782237
8,9,0.9993586131092274,10862.532888090063,72.78198121780042
9,10,0.9993622855600534,10800.3362351006,62.19665298946347
10,11,0.999365247029779,10750.180763020515,50.15547208008502
11,12,0.9993676008601242,10710.316275757923,39.864487262591865
12,13,0.9993695321103157,10677.608608949362,32.707666808561044
13,14,0.9993714816552525,10644.59110220169,33.01750674767209
14,15,0.9993733911588571,10612.251735739324,32.33936646236543
15,16,0.9993760090144637,10567.915714795796,44.33602094352864
16,17,0.999378662207925,10522.981211694801,44.934503100994334
17,18,0.9993816397170362,10472.554096470107,50.42711522469472
18,19,0.9993846839734193,10420.996548977635,51.55754749247171
19,20,0.9993869027700463,10383.418993715964,37.57755526167057
20,21,0.9993889614552162,10348.553087214772,34.86590650119251
21,22,0.9993908247625042,10316.996101895737,31.556985319035448
22,23,0.999395313591144,10240.973268516365,76.02283337937115
23,24,0.9993974204566123,10205.291380143457,35.68188837290836
24,25,0.9993993330918493,10172.898976332897,32.3924038105597
25,26,0.9994007505776016,10148.892427674284,24.00654865861361
26,27,0.9994023061273007,10122.547627039421,26.344800634862622
27,28,0.9994035398921961,10101.652576104198,20.89505093522348
28,29,0.9994047363751128,10081.388933020364,20.263643083833813
