,model,r_sq,rss,diff
1,2,0.9993198670781206,11761.500450295453,1327.001876112341
2,3,0.9993329773916881,11534.784533497665,226.71591679778794
3,4,0.9993384283013365,11440.522258843903,94.26227465376178
4,5,0.9993430591929415,11360.440510194536,80.081748649367
5,6,0.9993473503881366,11286.233112499438,74.20739769509782
6,7,0.999350803774588,11226.513894393844,59.71921810559434
7,8,0.9993539603256114,11171.927834685068,54.58605970877579
8,9,0.9993580414036215,11101.353981679205,70.57385300586247
9,10,0.9993621482759314,11030.334069294244,71.01991238496157
10,11,0.9993659031815572,10965.40069702604,64.93337226820404
11,12,0.9993694903802505,10903.367471328937,62.03322569710326
12,13,0.9993736939705405,10830.67502034148,72.69245098745705
13,14,0.9993760598576499,10789.7618673283,40.91315301317991
14,15,0.9993782590528528,10751.731308098251,38.03055923004831
15,16,0.9993801698135404,10718.688630755692,33.04267734255882
16,17,0.9993820997221549,10685.314829388895,33.373801366797125
17,18,0.9993839492565145,10653.330935500415,31.983893888480452
18,19,0.9993857941741495,10621.426878369977,31.90405713043765
19,20,0.9993897319013271,10553.331983267364,68.09489510261301
20,21,0.9993931037743333,10495.02237259347,58.309610673893985
21,22,0.9993950192847769,10461.897557987777,33.124814605693246
22,23,0.9993967314738345,10432.28876869942,29.608789288357002
23,24,0.9993984902359576,10401.874594001929,30.414174697491035
24,25,0.9994004474249186,10368.029035133895,33.84555886803355
25,26,0.9994021110788569,10339.259560938986,28.76947419490898
26,27,0.9994074446597636,10247.026245629519,92.2333153094678
27,28,0.999409108827211,10218.247891352396,28.77835427712307
28,29,0.9994103743405851,10196.363439593299,21.88445175909692
