,model,r_sq,rss,diff
1,2,0.9999993103522486,27.917747863489325,0.13272625679518057
2,3,0.9999993123333978,27.837548626416304,0.08019923707302112
3,4,0.9999993141831622,27.76266799648738,0.07488062992892353
4,5,0.9999993159171708,27.692473302816833,0.07019469367054754
5,6,0.9999993170135661,27.648089938286862,0.04438336452997049
6,7,0.9999993219271724,27.44918140450693,0.19890853377993167
7,8,0.9999993229900089,27.406156541008436,0.04302486349849488
8,9,0.9999993240480554,27.36332558347673,0.04283095753170585
9,10,0.9999993255331829,27.30320588256816,0.060119700908568774
10,11,0.9999993269810621,27.244594036744076,0.05861184582408541
11,12,0.9999993286552448,27.176821166052182,0.06777287069189342
12,13,0.9999993299025757,27.12632774976448,0.050493416287700654
13,14,0.9999993311000097,27.077854218038226,0.04847353172625546
14,15,0.999999332308543,27.02893137749893,0.0489228405392943
15,16,0.9999993334968621,26.980826828772173,0.04810454872675862
16,17,0.9999993349153161,26.923406153556563,0.05742067521561012
17,18,0.9999993358455712,26.885748335865088,0.037657817691474804
18,19,0.9999993368137811,26.846554071826752,0.03919426403833626
19,20,0.9999993377271627,26.809579315685447,0.036974756141304965
20,21,0.9999993386352655,26.77281825182806,0.0367610638573872
21,22,0.9999993394318754,26.740570548496624,0.03224770333143567
22,23,0.9999993402948417,26.70563666386786,0.03493388462876368
23,24,0.9999993409505226,26.679093935442005,0.0265427284258557
24,25,0.9999993418565386,26.642417343855946,0.036676591586058294
25,26,0.9999993425584977,26.614001220583926,0.028416123272020144
26,27,0.9999993439576228,26.557363000396045,0.05663822018788167
27,28,0.9999993448231842,26.52232406072969,0.03503893966635374
28,29,0.9999993454502848,26.496938295219387,0.025385765510304026
