Category: All categories

Month,Iron ore: (Worldwide),West Texas Intermediate: (Worldwide),Inflation: (Worldwide),Brent Crude: (Worldwide)
2004-01,5,1,0,1
2004-02,6,1,0,1
2004-03,6,1,0,1
2004-04,6,1,0,1
2004-05,5,2,0,2
2004-06,4,1,0,2
2004-07,4,1,0,1
2004-08,4,2,0,2
2004-09,5,1,0,2
2004-10,4,2,0,2
2004-11,5,1,0,2
2004-12,4,1,0,2
2005-01,4,1,0,1
2005-02,5,1,0,1
2005-03,7,1,0,1
2005-04,6,1,0,1
2005-05,5,1,0,1
2005-06,5,1,0,1
2005-07,4,2,0,1
2005-08,4,2,0,2
2005-09,4,1,0,2
2005-10,4,1,0,1
2005-11,4,1,0,1
2005-12,4,1,0,1
2006-01,4,1,0,1
2006-02,4,1,0,1
2006-03,5,1,0,1
2006-04,4,1,0,2
2006-05,5,1,0,1
2006-06,4,1,0,1
2006-07,3,1,0,1
2006-08,3,1,0,1
2006-09,4,1,0,2
2006-10,3,1,0,2
2006-11,4,1,0,1
2006-12,3,1,0,1
2007-01,3,1,0,2
2007-02,3,1,0,1
2007-03,4,1,0,1
2007-04,4,1,0,1
2007-05,4,1,0,1
2007-06,3,1,0,1
2007-07,4,1,0,1
2007-08,4,1,0,1
2007-09,4,1,0,1
2007-10,5,1,0,1
2007-11,5,1,0,1
2007-12,5,1,0,1
2008-01,5,1,0,1
2008-02,6,1,0,1
2008-03,5,1,0,1
2008-04,5,1,0,1
2008-05,5,2,0,1
2008-06,6,2,0,2
2008-07,5,3,0,2
2008-08,5,3,0,2
2008-09,5,4,0,2
2008-10,6,4,0,3
2008-11,5,2,0,2
2008-12,4,3,0,3
2009-01,4,2,0,2
2009-02,4,2,0,2
2009-03,4,1,0,1
2009-04,4,1,0,1
2009-05,4,1,0,1
2009-06,5,2,0,1
2009-07,5,1,0,1
2009-08,5,1,0,1
2009-09,4,1,0,1
2009-10,4,1,0,1
2009-11,4,1,0,1
2009-12,4,1,0,1
2010-01,4,1,0,1
2010-02,4,1,0,1
2010-03,6,1,0,1
2010-04,6,1,0,1
2010-05,5,1,0,1
2010-06,5,1,0,1
2010-07,4,1,0,1
2010-08,4,1,0,1
2010-09,4,1,0,1
2010-10,4,1,0,1
2010-11,4,1,0,1
2010-12,4,1,0,1
2011-01,4,1,0,1
2011-02,4,2,0,3
2011-03,4,2,0,2
