,dte,step,y_pred,y_val
0_2023-01-04,2023-01-04,0,67.32021,73.66999816894531
0_2023-01-05,2023-01-05,0,67.285095,73.7699966430664
0_2023-01-06,2023-01-06,0,67.2246,74.62999725341797
0_2023-01-09,2023-01-09,0,66.442635,75.12000274658203
0_2023-01-10,2023-01-10,0,67.46883,77.41000366210938
0_2023-01-11,2023-01-11,0,67.31823,78.38999938964844
0_2023-01-12,2023-01-12,0,67.048454,79.86000061035156
0_2023-01-13,2023-01-13,0,67.09468,80.18000030517578
0_2023-01-17,2023-01-17,0,67.150925,79.4800033569336
0_2023-01-18,2023-01-18,0,67.37837,80.33000183105469
0_2023-01-19,2023-01-19,0,67.40346,81.30999755859375
0_2023-01-20,2023-01-20,0,67.35293,81.62000274658203
0_2023-01-23,2023-01-23,0,67.39488,80.12999725341797
0_2023-01-24,2023-01-24,0,67.17424,80.1500015258789
0_2023-01-25,2023-01-25,0,67.2635,81.01000213623047
0_2023-01-26,2023-01-26,0,67.352905,79.68000030517578
0_2023-01-27,2023-01-27,0,67.38035,77.9000015258789
0_2023-01-30,2023-01-30,0,67.2573,78.87000274658203
0_2023-01-31,2023-01-31,0,67.18165,76.41000366210938
0_2023-02-01,2023-02-01,0,67.26217,75.87999725341797
0_2023-02-02,2023-02-02,0,67.49799,73.38999938964844
0_2023-02-03,2023-02-03,0,67.50024,74.11000061035156
0_2023-02-06,2023-02-06,0,66.9684,77.13999938964844
0_2023-02-07,2023-02-07,0,67.009636,78.47000122070312
0_2023-02-08,2023-02-08,0,67.474106,78.05999755859375
0_2023-02-09,2023-02-09,0,67.54605,79.72000122070312
0_2023-02-10,2023-02-10,0,67.24879,80.13999938964844
0_2023-02-13,2023-02-13,0,67.275246,79.05999755859375
0_2023-02-14,2023-02-14,0,66.88508,78.58999633789062
0_2023-02-15,2023-02-15,0,67.38568,78.48999786376953
0_2023-02-16,2023-02-16,0,66.87091,76.33999633789062
0_2023-02-17,2023-02-17,0,67.39251,76.16000366210938
0_2023-02-21,2023-02-21,0,67.401024,73.94999694824219
0_2023-02-22,2023-02-22,0,67.24859,75.38999938964844
1_2023-01-11,2023-01-11,1,67.271034,78.38999938964844
1_2023-01-12,2023-01-12,1,67.33835,79.86000061035156
1_2023-01-13,2023-01-13,1,67.41804,80.18000030517578
1_2023-01-17,2023-01-17,1,67.390816,79.4800033569336
1_2023-01-18,2023-01-18,1,67.228546,80.33000183105469
1_2023-01-19,2023-01-19,1,67.23837,81.30999755859375
1_2023-01-20,2023-01-20,1,67.05103,81.62000274658203
1_2023-01-23,2023-01-23,1,66.38303,80.12999725341797
1_2023-01-24,2023-01-24,1,67.92264,80.1500015258789
1_2023-01-25,2023-01-25,1,67.09735,81.01000213623047
1_2023-01-26,2023-01-26,1,67.152664,79.68000030517578
1_2023-01-27,2023-01-27,1,68.03964,77.9000015258789
1_2023-01-30,2023-01-30,1,67.23746,78.87000274658203
1_2023-01-31,2023-01-31,1,67.77641,76.41000366210938
1_2023-02-01,2023-02-01,1,67.94728,75.87999725341797
1_2023-02-02,2023-02-02,1,67.29037,73.38999938964844
1_2023-02-03,2023-02-03,1,67.70492,74.11000061035156
1_2023-02-06,2023-02-06,1,67.54471,77.13999938964844
1_2023-02-07,2023-02-07,1,67.889114,78.47000122070312
1_2023-02-08,2023-02-08,1,67.29641,78.05999755859375
1_2023-02-09,2023-02-09,1,66.68762,79.72000122070312
1_2023-02-10,2023-02-10,1,67.59748,80.13999938964844
1_2023-02-13,2023-02-13,1,67.54734,79.05999755859375
1_2023-02-14,2023-02-14,1,67.80547,78.58999633789062
1_2023-02-15,2023-02-15,1,67.23359,78.48999786376953
1_2023-02-16,2023-02-16,1,67.485245,76.33999633789062
