,model,r_sq,rss,diff
0,1,0.9992365172290433,13023.011488544278,
1,2,0.9993029306837798,11890.172324480265,-1132.839164064013
2,3,0.9993092573120544,11782.256657175014,-107.91566730525119
3,4,0.9993123264754333,11729.90478826113,-52.35186891388366
4,5,0.9993175821556782,11640.256682483225,-89.64810577790558
5,6,0.999319730878033,11603.605120749113,-36.651561734111965
6,7,0.9993205695940816,11589.29882707764,-14.306293671472304
7,8,0.9993238160691219,11533.922486764832,-55.37634031280868
8,9,0.9993248889316542,11515.622268848467,-18.300217916365
9,10,0.9993282816309418,11457.751726799834,-57.87054204863307
10,11,0.9993299547961182,11429.211921917915,-28.539804881918826
11,12,0.9993327706449995,11381.180933234999,-48.03098868291636
12,13,0.9993364844014312,11317.833999269349,-63.34693396564944
13,14,0.9993374280399498,11301.738003737908,-16.095995531441076
14,15,0.9993383410856786,11286.163840878691,-15.574162859216813
15,16,0.9993394065133403,11267.990442333892,-18.173398544799056
16,17,0.9993422583452638,11219.345677427871,-48.64476490602101
17,18,0.9993447775036056,11176.375450364321,-42.97022706354983
18,19,0.9993457524758539,11159.744983674684,-16.630466689637615
19,20,0.9993465781706498,11145.660798385128,-14.084185289555535
20,21,0.9993473496791406,11132.50088918652,-13.159909198608148
21,22,0.9993479887194934,11121.600538618863,-10.90035056765737
22,23,0.9993488974934641,11106.099240736177,-15.501297882685321
23,24,0.9993494912823192,11095.970761907847,-10.128478828330117
24,25,0.9993503676122218,11081.022874641643,-14.947887266203907
25,26,0.9993510003193533,11070.23055220033,-10.792322441313445
26,27,0.9993515749237619,11060.429309659246,-9.801242541083411
27,28,0.9993522859343816,11048.301335300948,-12.127974358298161
28,29,0.9993531157745978,11034.146440022247,-14.154895278701588
29,30,0.9993538816662187,11021.082339878245,-13.064100144001713
30,31,0.9993544066376949,11012.127704849627,-8.954635028618213
31,32,0.9993550325025624,11001.452093467567,-10.675611382059287
32,33,0.9993598625966339,10919.0633703976,-82.38872306996745
33,34,0.9993604353686705,10909.293383313117,-9.769987084482636
34,35,0.9993610043420862,10899.588190725231,-9.705192587885904
35,36,0.9993616919016082,10887.860230521943,-11.727960203288603
36,37,0.9993623252595893,10877.056806294422,-10.803424227520736
37,38,0.9993629661014414,10866.125726878505,-10.931079415917338
38,39,0.9993634973813679,10857.063486250314,-9.06224062819092
39,40,0.9993640846368438,10847.046449715626,-10.017036534687577
40,41,0.9993645732048739,10838.71276189477,-8.33368782085563
41,42,0.9993650662560198,10830.302603890452,-8.410158004318873
42,43,0.9993655362300659,10822.28608061954,-8.01652327091142
43,44,0.9993661344333549,10812.082303138097,-10.203777481443467
44,45,0.9993664699407142,10806.359428488377,-5.722874649720325
45,46,0.9993668967046864,10799.079955626785,-7.279472861591785
46,47,0.9993672374252205,10793.268157902174,-5.811797724611097
47,48,0.9993681611727753,10777.511449989943,-15.756707912230922
48,49,0.9993685529351168,10770.829013045355,-6.682436944587607
49,50,0.9993688856785412,10765.153283869544,-5.675729175811284
50,51,0.9993691777970651,10760.170508831254,-4.982775038290129
51,52,0.9993697645776249,10750.161573120704,-10.00893571054985
52,53,0.9993701227166392,10744.052661858741,-6.10891126196293
53,54,0.9993704631135683,10738.246383988127,-5.806277870613485
54,55,0.9993710257450856,10728.649367534521,-9.597016453606557
55,56,0.9993717361481848,10716.531755882728,-12.117611651792686
56,57,0.9993721612227787,10709.281099375885,-7.25065650684337
57,58,0.9993725421330891,10702.783769591755,-6.497329784129761
58,59,0.9993728703983217,10697.18442661071,-5.599342981045993
59,60,0.9993732191800488,10691.235126098589,-5.949300512120317
60,61,0.999373557845237,10685.458387181243,-5.776738917345938
61,62,0.9993739109004932,10679.436191482844,-6.022195698398718
62,63,0.9993743705354884,10671.59602527415,-7.840166208694427
63,64,0.999374745046691,10665.207847466823,-6.388177807326429
64,65,0.9993756961281054,10648.984895675829,-16.222951790994557
65,66,0.9993760459195985,10643.018371207792,-5.9665244680363685
66,67,0.9993763645940849,10637.582621176429,-5.435750031363568
67,68,0.9993767068411487,10631.744784864277,-5.8378363121519214
68,69,0.9993771070382388,10624.918473254951,-6.826311609325785
69,70,0.9993778140065481,10612.859450097836,-12.059023157115007
70,71,0.9993786795788061,10598.095060004967,-14.76439009286878
71,72,0.999379247275294,10588.411648452719,-9.6834115522488
72,73,0.9993800633067175,10574.492294923806,-13.919353528912325
73,74,0.9993806437925629,10564.590730513253,-9.901564410552965
74,75,0.9993811373666468,10556.171652557057,-8.419077956195906
75,76,0.9993815569382546,10549.014862546417,-7.156790010640179
76,77,0.9993819475153484,10542.352642818183,-6.662219728234049
77,78,0.9993824321457853,10534.086120000591,-8.266522817591976
78,79,0.9993827169245505,10529.2285419742,-4.857578026390911
79,80,0.999383634200798,10513.582217572039,-15.646324402161554
80,81,0.9993842400352781,10503.248272007717,-10.333945564321766
81,82,0.9993846461242168,10496.321460931475,-6.926811076242302
82,83,0.9993850336474858,10489.711331436989,-6.610129494485591
83,84,0.9993863015446728,10468.084334390496,-21.62699704649276
84,85,0.9993872877330378,10451.26255019902,-16.821784191475672
85,86,0.9993877915425474,10442.668882754771,-8.59366744424915
86,87,0.9993883324879133,10433.441775108426,-9.227107646345758
87,88,0.9993901638241613,10402.203987033154,-31.237788075271965
88,89,0.9993909186332474,10389.328925836053,-12.875061197100877
89,90,0.9993912725183057,10383.292575892898,-6.036349943155074
90,91,0.9993917146856977,10375.750361132654,-7.542214760243951
91,92,0.9993921450436972,10368.409583598226,-7.340777534427616
92,93,0.9993925846325479,10360.911351982017,-7.498231616209523
93,94,0.9993930286352491,10353.337831661358,-7.573520320658645
94,95,0.9993937330029614,10341.32316786248,-12.014663798878246
95,96,0.9993942072613089,10333.233565656887,-8.08960220559311
96,97,0.9993948384863298,10322.466524130969,-10.767041525918103
97,98,0.9993950548992075,10318.775088645634,-3.6914354853342957
98,99,0.999395255352921,10315.355874602777,-3.4192140428567654
99,100,0.9993954247862161,10312.465787448255,-2.8900871545229165
100,101,0.9993957043838143,10307.69658652704,-4.769200921215088
101,102,0.9993959885787567,10302.848966986712,-4.847619540327287
102,103,0.9993963078608545,10297.40285269709,-5.446114289621619
103,104,0.9993965808547142,10292.746294218778,-4.656558478312945
104,105,0.999396833427798,10288.438060561171,-4.308233657606252
105,106,0.9993970331659876,10285.031051472692,-3.4070090884797537
106,107,0.9993972565265109,10281.221107396412,-3.809944076279862
107,108,0.9993974515648778,10277.89426494586,-3.3268424505513394
108,109,0.99939759622141,10275.426804313956,-2.467460631904032
109,110,0.9993995865613089,10241.476831433014,-33.94997288094237
110,111,0.999399987013809,10234.646163199672,-6.830668233342294
111,112,0.9994003781802838,10227.97389017745,-6.672273022220907
112,113,0.9994012771985161,10212.638999576888,-15.334890600563085
113,114,0.9994023290864071,10194.696553970865,-17.942445606022375
114,115,0.9994030915515855,10181.690899941383,-13.005654029482685
115,116,0.9994038915491518,10168.045041916259,-13.645858025123744
116,117,0.9994043268132784,10160.620578735885,-7.424463180374005
117,118,0.9994048244659438,10152.131930890597,-8.488647845288142
118,119,0.999405397230156,10142.362077268535,-9.769853622061419
119,120,0.9994057506216716,10136.334145870003,-6.027931398532019
120,121,0.9994060373935628,10131.442570347015,-4.891575522988205
121,122,0.999406320005246,10126.621957051477,-4.820613295538351
122,123,0.9994065222080489,10123.17290813248,-3.449048918997505
123,124,0.9994067361651776,10119.523361278003,-3.6495468544762844
124,125,0.9994069098096842,10116.561441912916,-2.961919365086942
125,126,0.999407092851451,10113.439229961648,-3.1222119512676727
126,127,0.9994073018487265,10109.874285180224,-3.564944781424856
127,128,0.9994074665867734,10107.064286633513,-2.8099985467106308
128,129,0.9994076144525994,10104.542083875605,-2.5222027579075075
129,130,0.9994077065846071,10102.970553724052,-1.5715301515538158
130,131,0.9994077875467023,10101.589552951547,-1.3810007725041942
131,132,0.9994078596217825,10100.36014132265,-1.229411628897651
132,133,0.9994079292453611,10099.17254587221,-1.187595450439403
133,134,0.9994079966415859,10098.022943234011,-1.1496026381992124
134,135,0.9994080776300255,10096.641493094947,-1.3814501390643272
135,136,0.9994083690924528,10091.669909343513,-4.971583751434082
136,137,0.9994084538017689,10090.224990821098,-1.4449185224148096
137,138,0.9994085397727193,10088.75855213093,-1.4664386901677062
138,139,0.9994086146049862,10087.48211013485,-1.2764419960803934
139,140,0.9994086779237038,10086.40205906166,-1.0800510731896793
140,141,0.9994088243477246,10083.904449714328,-2.4976093473324
141,142,0.9994088845290355,10082.87791456086,-1.0265351534671936
142,143,0.9994098461111074,10066.47584912331,-16.402065437550846
143,144,0.9994098966362243,10065.614023288075,-0.8618258352344128
144,145,0.9994099440589568,10064.805115982577,-0.8089073054979963
145,146,0.9994099906341692,10064.010665144315,-0.7944508382624917
146,147,0.9994100344844541,10063.262694418407,-0.7479707259080897
147,148,0.9994100752783357,10062.566857904765,-0.6958365136415523
148,149,0.999410109735013,10061.97911746016,-0.5877404446055152
149,150,0.9994101342484727,10061.560982199586,-0.41813526057376293
150,151,0.9994102368761996,10059.810422635472,-1.7505595641141554
151,152,0.9994102583018523,10059.444957254591,-0.36546538088077796
152,153,0.9994102916847436,10058.875532778144,-0.5694244764472387
153,154,0.9994103158546136,10058.463258256645,-0.4122745214990573
154,155,0.9994103340967468,10058.152095359843,-0.31116289680176124
155,156,0.9994103503258647,10057.875269220047,-0.2768261397959577
156,157,0.999411660307911,10035.530414970086,-22.344854249960918
157,158,0.9994118260852779,10032.702688352201,-2.827726617884764
158,159,0.9994119004634756,10031.433991584388,-1.2686967678127985
159,160,0.9994119442021456,10030.687924713791,-0.746066870597133
160,161,0.9994119600922685,10030.416880938641,-0.2710437751502468
161,162,0.9994119693499429,10030.258969319222,-0.15791161941888276
162,163,0.9994119751131074,10030.160664864827,-0.09830445439547475
163,164,0.9994119790903889,10030.092822884484,-0.06784198034256406
164,165,0.999411980435976,10030.069870703373,-0.02295218111066788
165,166,0.9994120077813271,10029.603430810617,-0.4664398927561706
166,167,0.9994120086157015,10029.589198574966,-0.014232235651434166
167,168,0.9994120093743375,10029.576258236384,-0.012940338581756805
168,169,0.9994120099124478,10029.567079485707,-0.009178750677165226
169,170,0.9994120102875689,10029.560680906514,-0.0063985791930463165
170,171,0.9994120103429178,10029.559736798854,-0.0009441076599614462
171,172,0.9994120103430707,10029.559734190443,-2.608410795801319e-06
172,173,0.9994120103430597,10029.559734377981,1.875378075055778e-07
173,174,0.9994120103431235,10029.55973328831,-1.089671059162356e-06
174,175,0.9994120103430674,10029.559734246977,9.586674423189834e-07
175,176,0.9994120103429452,10029.559736331226,2.0842489902861416e-06
176,177,0.9994120103429975,10029.559735438943,-8.922834240365773e-07
177,178,0.999412010343096,10029.559733759043,-1.6799003788037226e-06
178,179,0.999412010343052,10029.559734508306,7.492635631933808e-07
179,180,0.9994120103428749,10029.559737530693,3.0223873181967065e-06
180,181,0.9994120103429788,10029.559735757644,-1.7730490071699023e-06
