,model_name,step,dte,train_rmse,test_rmse,hyper,hyperidx,train_smape,test_smape,train_mase,test_mase
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,34.47053308794611,26.621836299713625,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,0,42.78866499510763,41.246200829221486,0.34741879,0.33886886
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.761574584985155,6.548944624112901,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,0,30.673052226027394,7.917772259628563,0.34897,0.07565491
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,25.975011701829054,14.493905726982504,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,0,31.698518020221787,18.47521544339364,0.3252679,0.1646433
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,24.01747766520118,11.698362473881227,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,1,30.396556996086105,15.388211434347587,0.32902062,0.14156073
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.72670073026133,12.520813360637321,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,1,30.575232897097194,16.893503289473685,0.3161799,0.15477617
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,24.456142485548238,11.30215200001942,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,1,30.287347623124592,14.434888337787829,0.32007423,0.1328468
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,52.317330086155486,48.62324265783289,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,2,92.2298801369863,93.35132264254385,0.6185968,0.6359609
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.035780619734403,10.53927532911493,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,2,30.313621167645138,13.68479517886513,0.32671607,0.12701547
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,25.02242646451129,11.33273949656791,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,2,31.26855532452707,11.98388243558114,0.36165974,0.107765906
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.539617380615624,5.137901813915723,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,3,30.537146322570123,5.846529776589912,0.36284792,0.056869484
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,25.16013411396713,13.935837445507794,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,3,30.71477495107632,19.194398043448462,0.31054848,0.1741637
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,23.670001730747586,6.957207533473352,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,3,30.24770670254403,8.079148677357455,0.346324,0.077264465
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,91.06903609865155,88.41716307687382,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.2 Criterion:MSELoss() Prune:0.2,4,199.96106490541422,200.0,1.2748544,1.1598678
