,model_name,step,dte,y_pred,y_obs
0,reg,0,2022-12-02,80.8137207,76.93000031
1,reg,0,2022-12-05,80.57617696,74.25
2,reg,0,2022-12-06,80.29564842,72.01000214
3,reg,0,2022-12-07,80.42902041,71.45999908
4,reg,0,2022-12-08,80.36421182,71.01999664
5,reg,0,2022-12-09,80.34921247,73.16999817
6,reg,0,2022-12-12,80.39546677,75.38999939
7,reg,0,2022-12-13,80.37384905,77.27999878
8,reg,0,2022-12-14,80.33269734,76.11000061
9,reg,0,2022-12-15,80.39298982,74.29000092
10,reg,0,2022-12-16,80.3541786,75.19000244
11,reg,0,2022-12-19,80.33361405,76.08999634
12,reg,0,2022-12-20,80.36976641,78.29000092
13,reg,0,2022-12-21,80.33756509,77.48999786
14,reg,0,2022-12-22,80.31960176,79.55999756
15,reg,0,2022-12-23,80.34577869,79.52999878
16,reg,0,2022-12-27,80.31591305,78.95999908
17,reg,0,2022-12-28,80.30091226,78.40000153
18,reg,0,2022-12-29,80.32006624,80.26000214
19,reg,0,2022-12-30,80.29035398,76.93000031
20,reg,0,2023-01-03,80.28102303,72.83999634
21,reg,0,2023-01-04,80.29020251,73.66999817
22,reg,0,2023-01-05,80.26647402,73.76999664
23,reg,0,2023-01-06,80.25552449,74.62999725
24,reg,0,2023-01-09,80.26304519,75.12000275
25,reg,0,2023-01-10,80.23814242,77.41000366
26,reg,0,2023-01-11,80.23211407,78.38999939
27,reg,0,2023-01-12,80.23185243,79.86000061
28,reg,0,2023-01-13,80.21301366,80.18000031
29,reg,0,2023-01-17,80.20391671,79.48000336
30,reg,0,2023-01-18,80.20435414,80.33000183
31,reg,0,2023-01-19,80.18383889,81.30999756
32,reg,0,2023-01-20,80.17878754,81.62000275
33,reg,0,2023-01-23,80.17327556,80.12999725
34,reg,0,2023-01-24,80.15818978,80.15000153
35,reg,0,2023-01-25,80.14964532,81.01000214
36,reg,0,2023-01-26,80.14602976,79.68000031
37,reg,0,2023-01-27,80.12894274,77.90000153
38,reg,0,2023-01-30,80.12386978,78.87000275
39,reg,0,2023-01-31,80.11557733,76.41000366
40,reg,0,2023-02-01,80.10322154,75.87999725
41,reg,0,2023-02-02,80.09464528,73.38999939
42,reg,0,2023-02-03,80.08884934,74.11000061
43,reg,0,2023-02-06,80.07427379,77.13999939
44,reg,0,2023-02-07,80.06882257,78.47000122
45,reg,0,2023-02-08,80.05919766,78.05999756
46,reg,0,2023-02-09,80.04874385,79.72000122
47,reg,0,2023-02-10,80.03995471,80.13999939
48,reg,0,2023-02-13,80.03308233,79.05999756
49,reg,0,2023-02-14,80.02028785,78.58999634
0,SES_alpha=0.2,0,2022-12-02,80.19494119,76.93000031
1,SES_alpha=0.2,0,2022-12-05,80.19494119,74.25
2,SES_alpha=0.2,0,2022-12-06,80.19494119,72.01000214
3,SES_alpha=0.2,0,2022-12-07,80.19494119,71.45999908
4,SES_alpha=0.2,0,2022-12-08,80.19494119,71.01999664
5,SES_alpha=0.2,0,2022-12-09,80.19494119,73.16999817
6,SES_alpha=0.2,0,2022-12-12,80.19494119,75.38999939
7,SES_alpha=0.2,0,2022-12-13,80.19494119,77.27999878
8,SES_alpha=0.2,0,2022-12-14,80.19494119,76.11000061
9,SES_alpha=0.2,0,2022-12-15,80.19494119,74.29000092
10,SES_alpha=0.2,0,2022-12-16,80.19494119,75.19000244
11,SES_alpha=0.2,0,2022-12-19,80.19494119,76.08999634
12,SES_alpha=0.2,0,2022-12-20,80.19494119,78.29000092
13,SES_alpha=0.2,0,2022-12-21,80.19494119,77.48999786
14,SES_alpha=0.2,0,2022-12-22,80.19494119,79.55999756
15,SES_alpha=0.2,0,2022-12-23,80.19494119,79.52999878
16,SES_alpha=0.2,0,2022-12-27,80.19494119,78.95999908
17,SES_alpha=0.2,0,2022-12-28,80.19494119,78.40000153
18,SES_alpha=0.2,0,2022-12-29,80.19494119,80.26000214
19,SES_alpha=0.2,0,2022-12-30,80.19494119,76.93000031
20,SES_alpha=0.2,0,2023-01-03,80.19494119,72.83999634
21,SES_alpha=0.2,0,2023-01-04,80.19494119,73.66999817
