,model_name,step,dte,train_rmse,test_rmse,train_smape,test_smape,train_mase,test_mase
lstm_0_2022-12-01 00:00:00,lstm_lstmsubset,0,2022-12-01 00:00:00,23.616493590947197,10.51575160410878,29.920643472906406,13.368608441269188,0.32734865,0.12390388
rnn_0_2022-12-01 00:00:00,rnn_rnnsubset,0,2022-12-01 00:00:00,11.901535422379595,9.617355283238888,13.842149014778325,10.741618909333882,0.13994628,0.10192592
lstm_1_2022-12-22 00:00:00,lstm_lstmsubset,1,2022-12-22 00:00:00,20.13860586150198,8.250677832298557,25.623825571895424,9.081230297423245,0.29017216,0.08510528
rnn_1_2022-12-22 00:00:00,rnn_rnnsubset,1,2022-12-22 00:00:00,8.734655385984846,5.463378360757469,10.86748238357843,5.852003130996436,0.11148867,0.05857328
lstm_2_2023-01-17 00:00:00,lstm_lstmsubset,2,2023-01-17 00:00:00,23.56410596317522,10.855593147676943,29.937400914634146,13.544692725466009,0.3306361,0.12503983
rnn_2_2023-01-17 00:00:00,rnn_rnnsubset,2,2023-01-17 00:00:00,13.898647193120205,8.556466977452228,17.945853658536585,9.424852873149671,0.18066137,0.094118565
lstm_3_2023-02-07 00:00:00,lstm_lstmsubset,3,2023-02-07 00:00:00,10.950957123195328,7.3009649083206325,13.02343117920712,7.8592529296875,0.13584395,0.07962546
rnn_3_2023-02-07 00:00:00,rnn_rnnsubset,3,2023-02-07 00:00:00,11.771797253235764,7.467042608106592,14.639022046925566,8.390664619311952,0.15033697,0.08313631
lstm_4_2023-03-01 00:00:00,lstm_lstmsubset,4,2023-03-01 00:00:00,23.534106887913097,8.576410507881898,29.9724788647343,10.182749965734649,0.3320704,0.09534851
rnn_4_2023-03-01 00:00:00,rnn_rnnsubset,4,2023-03-01 00:00:00,9.18155566096883,6.1697815253900945,10.998731884057971,6.790527879146107,0.115896896,0.06614815
lstm_5_2023-03-22 00:00:00,lstm_lstmsubset,5,2023-03-22 00:00:00,22.84996922864449,8.307673149956244,29.05470252403846,8.857029965049342,0.32142612,0.082565226
rnn_5_2023-03-22 00:00:00,rnn_rnnsubset,5,2023-03-22 00:00:00,12.831500298185858,12.226633011977185,15.963559194711538,15.056166264048793,0.15900289,0.13691421
