,model_name,step,dte,train_rmse,test_rmse,train_smape,test_smape,train_mase,test_mase
arima_sea_0_2022-12-01 00:00:00,arima_sea,0,2022-12-01 00:00:00,2.0675270027770485,3.527706201879314,1.850117662228582,3.5119301059621955,0.019260136904716927,0.036101666928342976
arima_xreg_0_2022-12-01 00:00:00,arima_xreg,0,2022-12-01 00:00:00,2.015323233813043,3.900236838735088,2.082187979080836,3.836431786028806,0.020988723950438253,0.03968702059219375
ols_0_2022-12-01 00:00:00,ols,0,2022-12-01 00:00:00,1.8278001867286318,4.128546618349064,1.8876371729580372,4.088234698814965,0.018539340654834893,0.0423683150158249
arima_sea_0_2022-12-01 00:00:00,arima_sea,0,2022-12-01 00:00:00,2.0675270027770485,3.527706201879314,1.850117662228582,3.5119301059621955,0.019260136904716927,0.036101666928342976
arima_xreg_0_2022-12-01 00:00:00,arima_xreg,0,2022-12-01 00:00:00,2.015323233813043,3.900236838735088,2.082187979080836,3.836431786028806,0.020988723950438253,0.03968702059219375
ols_0_2022-12-01 00:00:00,ols,0,2022-12-01 00:00:00,1.8278001867286318,4.128546618349064,1.8876371729580372,4.088234698814965,0.018539340654834893,0.0423683150158249
arima_sea_1_2022-12-22 00:00:00,arima_sea,1,2022-12-22 00:00:00,2.0663967664058456,2.458095199438178,1.8516787168429327,2.435302539174561,0.0192723216939811,0.02474121546036164
arima_xreg_1_2022-12-22 00:00:00,arima_xreg,1,2022-12-22 00:00:00,1.9781949404801502,2.266008110235758,2.0104016343819127,2.453004792679453,0.020211789547176902,0.024574353281224606
ols_1_2022-12-22 00:00:00,ols,1,2022-12-22 00:00:00,1.8411824106810504,2.275140979110438,1.8721441042955518,2.419856276545344,0.018397363011150462,0.024339515433996248
arima_sea_2_2023-01-17 00:00:00,arima_sea,2,2023-01-17 00:00:00,2.0645708522547612,4.5632029059486,1.8505495482487477,4.445890587469012,0.019257783794039196,0.04639282381143743
arima_xreg_2_2023-01-17 00:00:00,arima_xreg,2,2023-01-17 00:00:00,2.060564503450792,4.993411815061818,2.086520943647645,4.899282265423607,0.02109194047036801,0.05131421256853528
ols_2_2023-01-17 00:00:00,ols,2,2023-01-17 00:00:00,1.852683782664024,5.1086923207830806,1.87206473847147,5.029957903523608,0.018350245440998475,0.05274257566092018
arima_sea_3_2023-02-07 00:00:00,arima_sea,3,2023-02-07 00:00:00,2.06218393459627,4.536381094334975,1.8495817433031234,4.646012195831687,0.019244438962954087,0.04776735398477343
arima_xreg_3_2023-02-07 00:00:00,arima_xreg,3,2023-02-07 00:00:00,2.0430311747240175,4.590314944874234,2.0908090564334367,5.214973809770264,0.021137423697892156,0.05162703274309877
ols_3_2023-02-07 00:00:00,ols,3,2023-02-07 00:00:00,1.8383165700950517,4.545211866021204,1.875734853900008,5.1562564202221415,0.018406954224694697,0.051141916503578
arima_sea_4_2023-03-01 00:00:00,arima_sea,4,2023-03-01 00:00:00,2.058699875259861,5.195358300597278,1.8464169046875667,5.751785924547327,0.01920937015218525,0.059520276268685154
arima_xreg_4_2023-03-01 00:00:00,arima_xreg,4,2023-03-01 00:00:00,1.9201608002182047,4.678906424704257,1.9674784828659573,5.314752411056405,0.01970307570048637,0.05291386204963613
ols_4_2023-03-01 00:00:00,ols,4,2023-03-01 00:00:00,1.827331328980169,4.620605025642022,1.87668333327977,5.2828154238551415,0.01843417443819973,0.053003586910651546
arima_sea_5_2023-03-22 00:00:00,arima_sea,5,2023-03-22 00:00:00,2.0579287670134305,6.354853071000539,1.84833108168415,6.70123977416404,0.019226244508008465,0.06366678765820395
arima_xreg_5_2023-03-22 00:00:00,arima_xreg,5,2023-03-22 00:00:00,1.928507341483538,5.723033131135327,1.9934277459289307,5.821628802496896,0.01994550183011272,0.05566370803842918
ols_5_2023-03-22 00:00:00,ols,5,2023-03-22 00:00:00,1.8270902656058878,5.7064969413277735,1.878153011448156,5.807673125443999,0.01845075195205884,0.0555317753045712
