,model_name,step,dte,train_rmse,test_rmse,train_smape,test_smape,train_mase,test_mase
SES_alpha=0.2_0_2022-12-01 00:00:00,SES_alpha=0.2,0,2022-12-01 00:00:00,43.009304149426576,24.1864460027274,33.650431169718864,22.021551154787716,0.3441606326205703,0.19722278761318926
SES_alpha=0.6_0_2022-12-01 00:00:00,SES_alpha=0.6,0,2022-12-01 00:00:00,43.05724942620198,24.340345447823598,33.66540931973235,22.190877713564284,0.34373198310210873,0.1985988243293044
SES_alpha=1.0_0_2022-12-01 00:00:00,SES_alpha=1.0,0,2022-12-01 00:00:00,43.009304149426576,24.1864460027274,33.650431169718864,22.021551154787716,0.3441606326205703,0.19722278761318926
ES_alpha=1.0_0_2022-12-01 00:00:00,ES_alpha=1.0,0,2022-12-01 00:00:00,43.009304149426576,24.1864460027274,33.650431169718864,22.021551154787716,0.3441606326205703,0.19722278761318926
naive_0_2022-12-01 00:00:00,naive,0,2022-12-01 00:00:00,43.009304147870985,24.186445997707064,33.65043116924357,22.021551149266966,0.34416063263469443,0.19722278756829043
ma30_0_2022-12-01 00:00:00,ma30,0,2022-12-01 00:00:00,43.795671749283514,26.534049056092265,33.98196366999719,24.62436080328058,0.33869506721972964,0.21814521350516106
Holt=1.0_0_2022-12-01 00:00:00,Holt=1.0,0,2022-12-01 00:00:00,141.02708071133733,26.229379837774708,156.9026565938856,23.981106457164888,1.2055250150753405,0.21254602421585858
Holt_alpha=0.3_beta_0.1_0_2022-12-01 00:00:00,Holt_alpha=0.3_beta_0.1,0,2022-12-01 00:00:00,390.793245129166,17.941756342272395,114.19053375801869,16.213063187578634,3.941623446053033,0.14969048709039906
Arima_Best_0_2022-12-01 00:00:00,Arima_Best,0,2022-12-01 00:00:00,42.805019763517194,23.638868110735583,35.13996394635139,21.49675405538516,0.3970137555422874,0.19305133269911207
snaive_0_2022-12-01 00:00:00,snaive,0,2022-12-01 00:00:00,114.95180037787551,97.13948450552945,71.52593770289754,58.843980545030185,1.3558330307519557,0.8375634959093662
DampedES_alpha=1.0_0_2022-12-01 00:00:00,DampedES_alpha=1.0,0,2022-12-01 00:00:00,43.009304149426576,24.1864460027274,33.650431169718864,22.021551154787716,0.3441606326205703,0.19722278761318926
combined_0_2022-12-01 00:00:00,combined,0,2022-12-01 00:00:00,131.22625739367678,22.084485109979894,73.23324238432429,20.04085757195464,1.4040488801617523,0.18137868743892582
esrnn_0_2022-12-01 00:00:00,esrnn_ftsubset,0,2022-12-01 00:00:00,57.15721320607203,51.61319477614227,44.40323788998358,55.41359991776316,0.34974685311317444,0.43320897221565247
gru_0_2022-12-01 00:00:00,gru_grusubset,0,2022-12-01 00:00:00,32.037306973057795,14.03851470133259,26.66277196223317,11.113545735677082,0.29855525493621826,0.1040770411491394
lstm_0_2022-12-01 00:00:00,lstm_lstmsubset,0,2022-12-01 00:00:00,12.0363333924083,16.125481650086165,9.845474137931035,12.75658537212171,0.10420431196689606,0.11778602749109268
rnn_0_2022-12-01 00:00:00,rnn_rnnsubset,0,2022-12-01 00:00:00,8.587703839010898,10.375134938293234,6.400917231116585,7.911438523677357,0.06313222646713257,0.07529672980308533
reg_0_2022-12-01 00:00:00,reg,0,2022-12-01 00:00:00,48.314104479363664,36.896724397106915,38.25785975838862,36.696785184035846,0.29895919304745733,0.3091115148700469
SES_alpha=0.2_1_2022-12-22 00:00:00,SES_alpha=0.2,1,2022-12-22 00:00:00,41.21448621971675,11.938773483286027,34.05047356302796,9.2971488202507,0.41366791573958606,0.08809280106809102
SES_alpha=0.6_1_2022-12-22 00:00:00,SES_alpha=0.6,1,2022-12-22 00:00:00,41.17534286971922,12.268451251702855,34.015025021442895,9.598508036484551,0.41189994712637235,0.09082313288210367
SES_alpha=1.0_1_2022-12-22 00:00:00,SES_alpha=1.0,1,2022-12-22 00:00:00,41.21448621971675,11.938773483286027,34.05047356302796,9.2971488202507,0.41366791573958606,0.08809280106809102
ES_alpha=1.0_1_2022-12-22 00:00:00,ES_alpha=1.0,1,2022-12-22 00:00:00,41.21448621971675,11.938773483286027,34.05047356302796,9.2971488202507,0.41366791573958606,0.08809280106809102
