,model_name,step,dte,train_rmse,test_rmse,train_smape,test_smape,train_mase,test_mase
arima_sea_0_2022-12-01 00:00:00,arima_sea,0,2022-12-01 00:00:00,2.052466536837046,23.625332042888452,0.8510387281007393,21.482342390339962,0.008548889066346262,0.19293413752650576
arima_xreg_0_2022-12-01 00:00:00,arima_xreg,0,2022-12-01 00:00:00,0.0963911692607882,22.65146268316023,0.008287329090357624,20.542488979756598,8.247558219281982e-05,0.18538299541507186
ols_0_2022-12-01 00:00:00,ols,0,2022-12-01 00:00:00,0.09597905047694595,22.65360429423943,0.004344535655464586,20.54481683529269,4.304116081699582e-05,0.1854021915828796
arima_sea_1_2022-12-22 00:00:00,arima_sea,1,2022-12-22 00:00:00,2.0188072616579977,8.667457460613042,0.854839488488625,6.683868366815853,0.00858792169049166,0.06431941882720885
arima_xreg_1_2022-12-22 00:00:00,arima_xreg,1,2022-12-22 00:00:00,0.09615337396803543,9.167771618704721,0.008243976712796896,7.094192109856062,8.204410592993232e-05,0.06810494916947639
ols_1_2022-12-22 00:00:00,ols,1,2022-12-22 00:00:00,0.09574351891355817,9.16896155834595,0.004323274535755489,7.095047644880481,4.283053112721476e-05,0.06811272946493829
arima_sea_2_2023-01-17 00:00:00,arima_sea,2,2023-01-17 00:00:00,2.0107400332661474,1.7708002305003208,0.855578505151226,1.138538896921954,0.008595861266017463,0.011360444216847334
arima_xreg_2_2023-01-17 00:00:00,arima_xreg,2,2023-01-17 00:00:00,0.09591942931044264,1.7202878321540755,0.00837144687837521,1.0522178977516479,8.332068951123027e-05,0.010474599443094751
ols_2_2023-01-17 00:00:00,ols,2,2023-01-17 00:00:00,0.09550971288422853,1.7203622832897736,0.004302175181445264,1.0521220837300853,4.2621499777593114e-05,0.010473573036607666
arima_sea_3_2023-02-07 00:00:00,arima_sea,3,2023-02-07 00:00:00,2.006706592431407,3.092673900804097,0.8543099617464486,1.9552685312908114,0.008583144299533734,0.01964632741702664
arima_xreg_3_2023-02-07 00:00:00,arima_xreg,3,2023-02-07 00:00:00,0.09568493750346307,3.1221481333603065,0.008380610642389551,2.142686356326653,8.341423560422814e-05,0.021324264401221975
ols_3_2023-02-07 00:00:00,ols,3,2023-02-07 00:00:00,0.09527761142665757,3.1223426805677312,0.004281227284241874,2.1428320715722804,4.24139639695924e-05,0.021325575155207614
